,,,,,,,,
,,,,,,,,
,,,,,,,,
Name,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint
Date,10/30/2014,11/03/2014,11/03/2014,11/03/2014,10/30/2014,11/03/2014,11/03/2014,11/03/2014
Time,10:58am,08:49am,08:55am,09:02am,10:58am,08:49am,08:55am,09:02am
475 nm,2.79015E-06,9.82902E-06,6.12125E-07,1.02260E-05,2.79015E-06,9.82902E-06,6.12125E-07,1.02260E-05
476 nm,2.76985E-06,9.54977E-06,3.66904E-07,9.66650E-06,2.76985E-06,9.54977E-06,3.66904E-07,9.66650E-06
477 nm,2.80539E-06,9.10418E-06,7.30806E-07,9.22858E-06,2.80539E-06,9.10418E-06,7.30806E-07,9.22858E-06
478 nm,2.48062E-06,9.00009E-06,1.91769E-07,8.81071E-06,2.48062E-06,9.00009E-06,1.91769E-07,8.81071E-06
479 nm,2.63237E-06,8.30509E-06,2.57650E-07,8.86688E-06,2.63237E-06,8.30509E-06,2.57650E-07,8.86688E-06
480 nm,2.47194E-06,8.68122E-06,5.97485E-07,8.67161E-06,2.47194E-06,8.68122E-06,5.97485E-07,8.67161E-06
481 nm,2.28260E-06,7.80643E-06,6.62560E-07,8.35806E-06,2.28260E-06,7.80643E-06,6.62560E-07,8.35806E-06
482 nm,2.19195E-06,8.17809E-06,1.66470E-07,8.08385E-06,2.19195E-06,8.17809E-06,1.66470E-07,8.08385E-06
483 nm,2.26076E-06,7.91058E-06,1.03832E-07,7.79533E-06,2.26076E-06,7.91058E-06,1.03832E-07,7.79533E-06
484 nm,2.25995E-06,7.78771E-06,2.45791E-07,7.55998E-06,2.25995E-06,7.78771E-06,2.45791E-07,7.55998E-06
485 nm,2.36328E-06,7.25829E-06,4.70749E-07,7.59218E-06,2.36328E-06,7.25829E-06,4.70749E-07,7.59218E-06
486 nm,2.42314E-06,8.36895E-06,3.53273E-07,7.93168E-06,2.42314E-06,8.36895E-06,3.53273E-07,7.93168E-06
487 nm,2.40089E-06,8.20859E-06,3.38981E-07,7.88076E-06,2.40089E-06,8.20859E-06,3.38981E-07,7.88076E-06
488 nm,2.33689E-06,8.27193E-06,1.82355E-08,8.02783E-06,2.33689E-06,8.27193E-06,1.82355E-08,8.02783E-06
489 nm,2.38582E-06,8.34783E-06,1.45486E-07,8.57148E-06,2.38582E-06,8.34783E-06,1.45486E-07,8.57148E-06
490 nm,2.36447E-06,8.63960E-06,2.98095E-07,8.68809E-06,2.36447E-06,8.63960E-06,2.98095E-07,8.68809E-06
491 nm,2.61798E-06,8.67975E-06,2.90131E-07,9.12614E-06,2.61798E-06,8.67975E-06,2.90131E-07,9.12614E-06
492 nm,2.35487E-06,8.95589E-06,1.71433E-07,9.29870E-06,2.35487E-06,8.95589E-06,1.71433E-07,9.29870E-06
