,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Name,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33
Date,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015
Time,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm
T_int [ms],5060,5932,3613,7193,4712,14365,5060,5932,3613,7193,4712,14365
407 nm,5.07685E-07,5.22993E-07,1.60978E-06,0.00000E+00,5.58077E-08,4.81324E-07,5.07685E-07,5.22993E-07,1.60978E-06,0.00000E+00,5.58077E-08,4.81324E-07
408 nm,1.27349E-06,0.00000E+00,1.69625E-06,6.25179E-07,4.68659E-07,1.24836E-07,1.27349E-06,0.00000E+00,1.69625E-06,6.25179E-07,4.68659E-07,1.24836E-07
409 nm,5.80187E-07,3.76079E-08,2.59422E-06,8.29625E-07,2.00725E-07,1.85259E-07,5.80187E-07,3.76079E-08,2.59422E-06,8.29625E-07,2.00725E-07,1.85259E-07
410 nm,1.81188E-06,3.17241E-08,2.24806E-06,4.67324E-07,0.00000E+00,4.83293E-08,1.81188E-06,3.17241E-08,2.24806E-06,4.67324E-07,0.00000E+00,4.83293E-08
411 nm,2.41158E-06,2.30404E-07,3.07652E-06,9.83567E-07,9.89161E-07,1.35356E-08,2.41158E-06,2.30404E-07,3.07652E-06,9.83567E-07,9.89161E-07,1.35356E-08
412 nm,1.47432E-06,3.54556E-07,3.05005E-06,4.34118E-07,3.56580E-07,4.07992E-08,1.47432E-06,3.54556E-07,3.05005E-06,4.34118E-07,3.56580E-07,4.07992E-08
413 nm,2.05063E-06,2.62915E-08,4.75951E-06,1.87292E-06,4.54953E-07,3.93957E-07,2.05063E-06,2.62915E-08,4.75951E-06,1.87292E-06,4.54953E-07,3.93957E-07
414 nm,2.52303E-06,3.35724E-08,4.30685E-06,1.73597E-06,7.33387E-07,3.18866E-07,2.52303E-06,3.35724E-08,4.30685E-06,1.73597E-06,7.33387E-07,3.18866E-07
415 nm,3.05081E-06,2.27933E-07,5.37115E-06,1.87290E-06,3.38767E-07,4.19899E-07,3.05081E-06,2.27933E-07,5.37115E-06,1.87290E-06,3.38767E-07,4.19899E-07
416 nm,3.55946E-06,9.85893E-07,5.84232E-06,2.29094E-06,0.00000E+00,1.57651E-07,3.55946E-06,9.85893E-07,5.84232E-06,2.29094E-06,0.00000E+00,1.57651E-07
417 nm,4.58041E-06,4.56748E-07,8.04428E-06,2.77134E-06,4.54796E-08,0.00000E+00,4.58041E-06,4.56748E-07,8.04428E-06,2.77134E-06,4.54796E-08,0.00000E+00
418 nm,5.90969E-06,8.02544E-07,8.25969E-06,3.10486E-06,9.64928E-07,1.19490E-07,5.90969E-06,8.02544E-07,8.25969E-06,3.10486E-06,9.64928E-07,1.19490E-07
419 nm,6.36091E-06,4.88893E-07,9.99337E-06,3.16452E-06,4.52269E-07,1.72202E-07,6.36091E-06,4.88893E-07,9.99337E-06,3.16452E-06,4.52269E-07,1.72202E-07
420 nm,7.28465E-06,4.12460E-07,1.17116E-05,4.03198E-06,3.65058E-08,0.00000E+00,7.28465E-06,4.12460E-07,1.17116E-05,4.03198E-06,3.65058E-08,0.00000E+00
421 nm,9.19150E-06,2.96401E-07,1.31495E-05,5.22527E-06,1.42104E-07,2.83111E-08,9.19150E-06,2.96401E-07,1.31495E-05,5.22527E-06,1.42104E-07,2.83111E-08
422 nm,1.10623E-05,1.83096E-07,1.64424E-05,4.94135E-06,3.23736E-07,7.33617E-08,1.10623E-05,1.83096E-07,1.64424E-05,4.94135E-06,3.23736E-07,7.33617E-08
423 nm,1.17216E-05,2.92630E-07,1.79768E-05,6.50004E-06,0.00000E+00,3.07076E-07,1.17216E-05,2.92630E-07,1.79768E-05,6.50004E-06,0.00000E+00,3.07076E-07
424 nm,1.39788E-05,5.04832E-08,2.09059E-05,6.91798E-06,2.59119E-09,0.00000E+00,1.39788E-05,5.04832E-08,2.09059E-05,6.91798E-06,2.59119E-09,0.00000E+00
425 nm,1.57614E-05,4.67122E-07,2.31706E-05,8.07186E-06,1.09329E-07,7.12695E-08,1.57614E-05,4.67122E-07,2.31706E-05,8.07186E-06,1.09329E-07,7.12695E-08
426 nm,1.71102E-05,3.52064E-07,2.63422E-05,8.96546E-06,9.66432E-07,9.59260E-08,1.71102E-05,3.52064E-07,2.63422E-05,8.96546E-06,9.66432E-07,9.59260E-08
427 nm,2.02048E-05,2.17599E-07,3.06664E-05,1.10269E-05,2.07377E-07,2.07698E-08,2.02048E-05,2.17599E-07,3.06664E-05,1.10269E-05,2.07377E-07,2.07698E-08
428 nm,2.21196E-05,3.77207E-07,3.26590E-05,1.16022E-05,4.44362E-07,4.52582E-07,2.21196E-05,3.77207E-07,3.26590E-05,1.16022E-05,4.44362E-07,4.52582E-07
429 nm,2.52851E-05,4.28143E-07,3.68909E-05,1.36262E-05,6.65380E-07,4.77481E-07,2.52851E-05,4.28143E-07,3.68909E-05,1.36262E-05,6.65380E-07,4.77481E-07
430 nm,2.82575E-05,2.01364E-07,4.20743E-05,1.54862E-05,0.00000E+00,1.10657E-07,2.82575E-05,2.01364E-07,4.20743E-05,1.54862E-05,0.00000E+00,1.10657E-07
431 nm,3.05291E-05,9.12308E-07,4.52711E-05,1.62271E-05,0.00000E+00,1.96012E-07,3.05291E-05,9.12308E-07,4.52711E-05,1.62271E-05,0.00000E+00,1.96012E-07
432 nm,3.39773E-05,8.61643E-09,4.92014E-05,1.83914E-05,9.51731E-07,0.00000E+00,3.39773E-05,8.61643E-09,4.92014E-05,1.83914E-05,9.51731E-07,0.00000E+00
433 nm,3.70073E-05,2.88252E-07,5.52354E-05,2.06007E-05,2.41855E-07,6.50190E-07,3.70073E-05,2.88252E-07,5.52354E-05,2.06007E-05,2.41855E-07,6.50190E-07
434 nm,4.19324E-05,7.63426E-07,6.09697E-05,2.32029E-05,7.92184E-07,5.54874E-07,4.19324E-05,7.63426E-07,6.09697E-05,2.32029E-05,7.92184E-07,5.54874E-07
435 nm,4.50146E-05,9.67522E-07,6.59585E-05,2.50553E-05,1.56141E-06,1.07069E-06,4.50146E-05,9.67522E-07,6.59585E-05,2.50553E-05,1.56141E-06,1.07069E-06
436 nm,4.94019E-05,1.11905E-06,6.99760E-05,2.79838E-05,1.35462E-06,9.71190E-07,4.94019E-05,1.11905E-06,6.99760E-05,2.79838E-05,1.35462E-06,9.71190E-07
437 nm,5.24249E-05,5.03844E-07,7.49745E-05,3.06544E-05,6.20709E-07,1.01962E-06,5.24249E-05,5.03844E-07,7.49745E-05,3.06544E-05,6.20709E-07,1.01962E-06
438 nm,5.64836E-05,2.62780E-07,8.08281E-05,3.37281E-05,6.51288E-07,8.62873E-07,5.64836E-05,2.62780E-07,8.08281E-05,3.37281E-05,6.51288E-07,8.62873E-07
