,,,,
,,,,
,,,,
Name,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror
624 nm,1.56000E-05,1.40075E-05,2.26220E-03,1.56000E-05
625 nm,1.53464E-05,1.33058E-05,2.24094E-03,1.53464E-05
626 nm,1.48430E-05,1.34143E-05,2.15147E-03,1.48430E-05
627 nm,1.47007E-05,1.32555E-05,2.12392E-03,1.47007E-05
628 nm,1.39082E-05,1.29180E-05,2.09429E-03,1.39082E-05
629 nm,1.37593E-05,1.26867E-05,2.06563E-03,1.37593E-05
630 nm,1.40102E-05,1.23810E-05,2.02739E-03,1.40102E-05
631 nm,1.32211E-05,1.19064E-05,1.96356E-03,1.32211E-05
632 nm,1.33882E-05,1.17173E-05,1.91754E-03,1.33882E-05
633 nm,1.28939E-05,1.13189E-05,1.89862E-03,1.28939E-05
634 nm,1.26425E-05,1.11597E-05,1.85552E-03,1.26425E-05
635 nm,1.21982E-05,1.11141E-05,1.82934E-03,1.21982E-05
636 nm,1.21368E-05,1.05773E-05,1.77381E-03,1.21368E-05
637 nm,1.18292E-05,1.04558E-05,1.74767E-03,1.18292E-05
638 nm,1.13195E-05,9.94911E-06,1.69524E-03,1.13195E-05
639 nm,1.12207E-05,1.00583E-05,1.68601E-03,1.12207E-05
640 nm,1.14268E-05,9.95056E-06,1.63162E-03,1.14268E-05
641 nm,1.07155E-05,9.50750E-06,1.59608E-03,1.07155E-05
642 nm,1.04220E-05,9.20328E-06,1.54787E-03,1.04220E-05
643 nm,9.94683E-06,9.21368E-06,1.53627E-03,9.94683E-06
644 nm,1.01255E-05,8.67600E-06,1.49374E-03,1.01255E-05
645 nm,9.64939E-06,8.74135E-06,1.47087E-03,9.64939E-06
646 nm,9.91386E-06,8.36967E-06,1.42893E-03,9.91386E-06
647 nm,9.41617E-06,8.21461E-06,1.39279E-03,9.41617E-06
648 nm,8.85355E-06,7.89240E-06,1.36306E-03,8.85355E-06
649 nm,8.81901E-06,7.43719E-06,1.33044E-03,8.81901E-06
650 nm,8.65148E-06,7.52902E-06,1.30388E-03,8.65148E-06
651 nm,8.43198E-06,7.23435E-06,1.26283E-03,8.43198E-06
652 nm,8.26671E-06,7.29206E-06,1.26014E-03,8.26671E-06
653 nm,8.07502E-06,6.84028E-06,1.21540E-03,8.07502E-06
654 nm,7.90769E-06,6.98548E-06,1.20691E-03,7.90769E-06
655 nm,7.80084E-06,6.69365E-06,1.16655E-03,7.80084E-06
656 nm,7.46918E-06,6.34507E-06,1.13594E-03,7.46918E-06
657 nm,7.37013E-06,6.44005E-06,1.11116E-03,7.37013E-06
658 nm,6.95941E-06,6.27392E-06,1.06885E-03,6.95941E-06
659 nm,6.79255E-06,5.81672E-06,1.08793E-03,6.79255E-06
660 nm,6.67187E-06,5.74097E-06,1.02970E-03,6.67187E-06
661 nm,6.56022E-06,5.84661E-06,1.01573E-03,6.56022E-06
662 nm,6.20710E-06,5.78802E-06,9.87577E-04,6.20710E-06
663 nm,6.41521E-06,5.63777E-06,9.72287E-04,6.41521E-06
664 nm,5.97081E-06,5.17343E-06,9.71864E-04,5.97081E-06
665 nm,5.75778E-06,5.33384E-06,8.98606E-04,5.75778E-06
666 nm,5.68331E-06,5.07769E-06,9.19783E-04,5.68331E-06
667 nm,5.63500E-06,4.55745E-06,8.70789E-04,5.63500E-06
668 nm,5.49331E-06,4.60503E-06,8.72744E-04,5.49331E-06
669 nm,5.52354E-06,4.39021E-06,8.44689E-04,5.52354E-06
670 nm,5.04638E-06,4.40160E-06,8.41859E-04,5.04638E-06
671 nm,4.99341E-06,4.02791E-06,7.99565E-04,4.99341E-06
672 nm,4.57272E-06,4.38122E-06,7.74641E-04,4.57272E-06
673 nm,4.53774E-06,4.02522E-06,7.60249E-04,4.53774E-06
674 nm,4.64922E-06,4.31023E-06,7.46482E-04,4.64922E-06
675 nm,4.43615E-06,3.71929E-06,7.29630E-04,4.43615E-06
676 nm,4.23058E-06,3.73899E-06,7.03651E-04,4.23058E-06
677 nm,4.20660E-06,3.55427E-06,6.90238E-04,4.20660E-06
678 nm,4.32040E-06,3.51916E-06,7.00246E-04,4.32040E-06
679 nm,3.80173E-06,3.42541E-06,6.36482E-04,3.80173E-06
680 nm,3.86839E-06,3.19501E-06,6.59069E-04,3.86839E-06
681 nm,3.85494E-06,3.47533E-06,6.37479E-04,3.85494E-06
682 nm,4.04607E-06,3.09258E-06,6.19907E-04,4.04607E-06
683 nm,3.42638E-06,3.16625E-06,6.07680E-04,3.42638E-06
684 nm,3.37690E-06,3.38979E-06,6.09173E-04,3.37690E-06
685 nm,3.39647E-06,2.91159E-06,5.92624E-04,3.39647E-06
686 nm,3.47057E-06,2.87735E-06,5.65738E-04,3.47057E-06
687 nm,3.39147E-06,2.52514E-06,5.57527E-04,3.39147E-06
688 nm,3.11277E-06,2.79890E-06,5.34313E-04,3.11277E-06
689 nm,3.07321E-06,2.61499E-06,4.96570E-04,3.07321E-06
690 nm,2.85585E-06,2.71381E-06,4.97666E-04,2.85585E-06
691 nm,2.96630E-06,2.70284E-06,5.18922E-04,2.96630E-06
692 nm,3.17815E-06,2.56511E-06,4.99929E-04,3.17815E-06
693 nm,3.00382E-06,2.81884E-06,4.93305E-04,3.00382E-06
694 nm,2.87918E-06,2.23273E-06,4.98767E-04,2.87918E-06
695 nm,2.52399E-06,2.16579E-06,4.69574E-04,2.52399E-06
696 nm,2.70857E-06,2.13492E-06,4.29147E-04,2.70857E-06
697 nm,2.22876E-06,1.99300E-06,4.47997E-04,2.22876E-06
698 nm,2.54467E-06,1.74682E-06,4.26215E-04,2.54467E-06
699 nm,2.05141E-06,2.04510E-06,4.23146E-04,2.05141E-06
700 nm,2.17390E-06,1.79401E-06,3.99484E-04,2.17390E-06
701 nm,1.97127E-06,1.55690E-06,3.99791E-04,1.97127E-06
702 nm,1.95783E-06,1.89530E-06,3.58603E-04,1.95783E-06
703 nm,2.25866E-06,1.97893E-06,3.69262E-04,2.25866E-06
