Name,dark,BG_100,BG_90,BG_80,BG_70,BG_60,BG_50,BG_40,BG_30,BG_10,BG_20,BG_0
401 nm,7.36E-11,9.71E-07,5.67E-07,8.70E-07,1.05E-06,4.94E-07,5.16E-07,2.95E-07,7.62E-07,9.17E-08,1.71E-07,5.04E-08
402 nm,8.10E-11,1.78E-06,1.07E-06,8.08E-07,9.24E-07,5.08E-07,6.26E-07,8.82E-07,6.91E-07,2.84E-07,3.47E-07,3.46E-07
403 nm,1.95E-11,8.00E-07,1.70E-06,9.06E-07,1.08E-06,1.04E-06,7.99E-07,5.40E-07,3.44E-07,4.37E-07,3.31E-07,3.05E-07
404 nm,3.20E-10,1.64E-06,1.55E-06,1.85E-06,1.40E-06,7.97E-07,9.62E-07,7.61E-07,7.72E-07,2.47E-07,5.72E-07,2.15E-07
405 nm,0.00E+00,1.68E-06,1.44E-06,1.45E-06,8.79E-07,1.05E-06,1.46E-06,7.52E-07,4.36E-07,5.91E-07,6.44E-07,2.94E-08
406 nm,6.60E-10,2.02E-06,1.97E-06,1.07E-06,1.21E-06,1.18E-06,1.12E-06,1.22E-06,5.94E-07,5.29E-07,8.43E-07,0.00E+00
407 nm,1.47E-08,2.36E-06,1.76E-06,1.19E-06,1.28E-06,9.15E-07,9.93E-07,5.32E-07,9.99E-07,1.94E-07,6.85E-07,1.63E-07
408 nm,7.18E-08,2.08E-06,1.92E-06,1.22E-06,1.13E-06,7.87E-07,1.24E-06,8.70E-07,8.61E-07,2.42E-07,3.32E-07,1.03E-07
409 nm,0.00E+00,2.70E-06,1.90E-06,1.93E-06,1.53E-06,1.24E-06,1.23E-06,1.21E-06,8.74E-07,1.37E-07,6.56E-07,1.32E-07
410 nm,1.84E-09,2.14E-06,2.76E-06,2.08E-06,1.92E-06,1.55E-06,1.86E-06,1.09E-06,6.32E-07,3.94E-07,5.54E-07,8.81E-09
411 nm,0.00E+00,3.12E-06,2.47E-06,2.35E-06,2.24E-06,2.05E-06,1.59E-06,1.22E-06,7.62E-07,1.06E-07,8.47E-07,4.56E-07
412 nm,3.36E-11,3.72E-06,3.10E-06,2.55E-06,2.34E-06,2.02E-06,1.99E-06,1.71E-06,1.12E-06,7.83E-07,7.60E-07,1.65E-07
413 nm,9.16E-11,4.14E-06,3.37E-06,2.70E-06,2.59E-06,2.48E-06,2.23E-06,1.07E-06,1.62E-06,4.52E-07,1.24E-06,8.40E-08
414 nm,2.01E-11,4.30E-06,4.50E-06,3.96E-06,2.45E-06,2.38E-06,1.76E-06,2.12E-06,1.58E-06,5.43E-07,1.16E-06,3.39E-07
415 nm,2.34E-10,5.27E-06,5.57E-06,4.22E-06,3.85E-06,3.47E-06,2.63E-06,2.19E-06,1.26E-06,7.18E-07,1.32E-06,4.31E-07
416 nm,0.00E+00,6.20E-06,5.21E-06,4.91E-06,4.23E-06,4.01E-06,3.12E-06,2.82E-06,2.07E-06,1.24E-06,1.32E-06,4.52E-07
417 nm,0.00E+00,7.27E-06,6.54E-06,6.39E-06,4.66E-06,4.73E-06,3.71E-06,3.18E-06,2.45E-06,1.02E-06,1.67E-06,4.49E-07
418 nm,1.87E-08,8.44E-06,7.15E-06,6.51E-06,6.09E-06,4.86E-06,4.17E-06,3.77E-06,2.91E-06,1.32E-06,2.01E-06,4.65E-07
