,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:31am,11:32am,11:32am,11:32am,11:32am,11:33am,11:33am,11:33am,11:33am,11:33am
T_int [ms],6817,3891,2676,2116,1689,1481,1280,1000,1000,920
467 nm,1.33022E-06,1.22719E-06,1.45432E-06,2.46878E-06,2.86779E-06,3.59902E-06,3.80127E-06,4.66561E-06,4.06870E-06,4.44854E-06
468 nm,8.77368E-07,9.46724E-07,2.33123E-06,2.49169E-06,2.82653E-06,3.58331E-06,3.52068E-06,4.35227E-06,4.13147E-06,5.55888E-06
469 nm,1.14271E-06,1.74975E-06,2.08301E-06,2.63840E-06,2.46252E-06,3.59547E-06,4.29782E-06,4.53958E-06,4.80967E-06,6.57866E-06
470 nm,1.23326E-06,2.24661E-06,3.20647E-06,3.01167E-06,4.54115E-06,4.83744E-06,5.30961E-06,4.82603E-06,5.90283E-06,6.45827E-06
471 nm,1.12974E-06,2.01923E-06,2.67225E-06,2.96524E-06,4.03327E-06,4.63478E-06,5.05331E-06,6.53204E-06,6.05482E-06,6.51482E-06
472 nm,9.01641E-07,2.16411E-06,2.80173E-06,4.26627E-06,3.91216E-06,5.46563E-06,4.64979E-06,6.20157E-06,6.25408E-06,7.88055E-06
473 nm,1.34070E-06,1.97461E-06,3.26463E-06,3.45935E-06,4.64518E-06,5.71531E-06,5.73252E-06,6.63641E-06,7.76824E-06,8.72892E-06
474 nm,1.42808E-06,2.44795E-06,2.95147E-06,4.21032E-06,5.04298E-06,5.90941E-06,6.86263E-06,8.20909E-06,8.11956E-06,9.20087E-06
475 nm,1.50160E-06,2.74792E-06,3.93720E-06,5.01503E-06,7.23702E-06,6.14888E-06,7.31510E-06,7.92602E-06,9.29808E-06,1.15077E-05
476 nm,1.73542E-06,2.63469E-06,3.96069E-06,4.75341E-06,7.48621E-06,7.14766E-06,7.52406E-06,9.00778E-06,1.05791E-05,1.11221E-05
477 nm,1.81509E-06,3.45046E-06,3.56912E-06,5.80586E-06,7.62013E-06,7.93801E-06,9.43847E-06,1.06525E-05,1.22222E-05,1.36699E-05
478 nm,2.01028E-06,3.46126E-06,4.77695E-06,6.34669E-06,7.73901E-06,8.55350E-06,9.97473E-06,1.13522E-05,1.36069E-05,1.48589E-05
479 nm,2.44228E-06,3.56385E-06,5.53906E-06,7.28960E-06,9.02441E-06,1.00058E-05,1.16282E-05,1.27249E-05,1.56947E-05,1.74951E-05
480 nm,2.20595E-06,3.87033E-06,5.84893E-06,8.28211E-06,9.50943E-06,1.09070E-05,1.31243E-05,1.47200E-05,1.66649E-05,1.74449E-05
481 nm,3.03131E-06,4.05402E-06,6.57034E-06,8.89011E-06,1.01840E-05,1.29052E-05,1.36756E-05,1.65135E-05,1.88052E-05,2.23852E-05
482 nm,2.62991E-06,4.99656E-06,7.20517E-06,1.03706E-05,1.30802E-05,1.43386E-05,1.72091E-05,1.92474E-05,2.07776E-05,2.37148E-05
483 nm,3.18889E-06,5.69315E-06,7.46821E-06,1.09420E-05,1.31455E-05,1.51782E-05,1.81027E-05,1.99054E-05,2.32839E-05,2.71731E-05
484 nm,3.79352E-06,6.91852E-06,9.90061E-06,1.20482E-05,1.53110E-05,1.83783E-05,1.99465E-05,2.26231E-05,2.61290E-05,2.93049E-05
485 nm,3.86895E-06,7.18846E-06,9.91363E-06,1.36704E-05,1.61510E-05,1.90637E-05,2.24027E-05,2.48777E-05,2.99622E-05,3.24087E-05
486 nm,4.15326E-06,8.04677E-06,1.13741E-05,1.54297E-05,1.86969E-05,2.19153E-05,2.57504E-05,2.88002E-05,3.11624E-05,3.63812E-05
487 nm,4.83546E-06,8.43548E-06,1.16131E-05,1.63734E-05,2.10266E-05,2.40046E-05,2.72497E-05,3.23126E-05,3.48763E-05,3.73358E-05
488 nm,5.17597E-06,9.69658E-06,1.43042E-05,1.80641E-05,2.12034E-05,2.62453E-05,3.06079E-05,3.58107E-05,3.92116E-05,4.56702E-05
489 nm,5.61950E-06,1.03446E-05,1.64031E-05,2.02856E-05,2.51672E-05,2.95825E-05,3.36503E-05,3.97329E-05,4.40685E-05,5.00516E-05
490 nm,6.19783E-06,1.17345E-05,1.71193E-05,2.23440E-05,2.73427E-05,3.26377E-05,3.74416E-05,4.23437E-05,4.93131E-05,5.44484E-05
491 nm,6.94310E-06,1.29778E-05,1.85968E-05,2.54357E-05,3.09406E-05,3.60991E-05,4.18738E-05,4.86903E-05,5.40427E-05,6.12625E-05
492 nm,7.68489E-06,1.42491E-05,2.12712E-05,2.81518E-05,3.46476E-05,3.96700E-05,4.73508E-05,5.20056E-05,6.05351E-05,6.70921E-05
493 nm,8.62067E-06,1.60842E-05,2.35498E-05,3.10654E-05,3.77787E-05,4.48474E-05,5.29016E-05,5.92655E-05,6.83697E-05,7.27716E-05
494 nm,9.22119E-06,1.76480E-05,2.65550E-05,3.43072E-05,4.25117E-05,4.97753E-05,5.79275E-05,6.80185E-05,7.49054E-05,8.33393E-05
495 nm,9.89512E-06,1.92785E-05,2.89674E-05,3.87052E-05,4.65547E-05,5.56017E-05,6.29370E-05,7.35015E-05,8.28503E-05,9.35142E-05
496 nm,1.13273E-05,2.18970E-05,3.26685E-05,4.25698E-05,5.22215E-05,6.24880E-05,7.08215E-05,8.16823E-05,9.19688E-05,1.02331E-04
497 nm,1.30986E-05,2.40493E-05,3.62947E-05,4.63969E-05,5.86223E-05,6.75078E-05,7.99373E-05,9.15691E-05,1.03293E-04,1.14023E-04
498 nm,1.39854E-05,2.62985E-05,4.01382E-05,5.14511E-05,6.38839E-05,7.33559E-05,8.64356E-05,9.99549E-05,1.14046E-04,1.24937E-04
499 nm,1.56574E-05,2.91827E-05,4.32112E-05,5.67515E-05,7.06910E-05,8.08371E-05,9.49899E-05,1.08421E-04,1.23411E-04,1.36388E-04
500 nm,1.70982E-05,3.21116E-05,4.70998E-05,6.29108E-05,7.82876E-05,8.94905E-05,1.05111E-04,1.22060E-04,1.34206E-04,1.51394E-04
501 nm,1.84552E-05,3.53787E-05,5.26507E-05,6.84769E-05,8.72102E-05,9.95192E-05,1.14829E-04,1.32139E-04,1.51634E-04,1.65524E-04
502 nm,2.00340E-05,3.85853E-05,5.85683E-05,7.53055E-05,9.56549E-05,1.07105E-04,1.26617E-04,1.44137E-04,1.62831E-04,1.85779E-04
