,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100,green_0
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:36am,11:36am,11:36am,11:36am,11:37am,11:37am,11:37am,11:37am,11:37am,11:37am,11:40am
T_int [ms],6762,3906,2672,2064,1697,1483,1281,1000,1000,929,312
442 nm,2.13098E-07,0.00000E+00,1.47453E-07,0.00000E+00,6.18449E-07,0.00000E+00,0.00000E+00,6.55332E-07,6.55288E-07,4.10324E-07,3.04361E-07
443 nm,2.33469E-07,5.79362E-07,7.04745E-07,0.00000E+00,4.48132E-08,6.08678E-08,1.13834E-06,9.79831E-07,5.66789E-07,1.84558E-07,1.51440E-06
444 nm,8.81939E-08,2.21097E-07,0.00000E+00,4.52525E-08,6.23765E-07,7.38472E-07,9.82706E-07,2.28959E-07,1.35436E-08,4.76406E-07,0.00000E+00
445 nm,1.89601E-07,1.82913E-07,3.72095E-07,0.00000E+00,2.79291E-07,1.30067E-06,6.09975E-07,5.40298E-07,2.66745E-07,2.57153E-07,6.26496E-07
446 nm,1.60164E-07,5.10065E-07,2.13758E-07,5.66537E-07,7.63750E-07,5.50823E-07,3.31084E-07,2.32385E-08,1.26384E-07,4.41012E-07,1.76832E-06
447 nm,1.92570E-08,3.68493E-07,0.00000E+00,5.62502E-07,3.82289E-08,9.85374E-07,2.28274E-07,2.03646E-06,1.37826E-07,1.12425E-06,7.48143E-07
448 nm,6.41273E-07,4.74594E-08,8.86929E-07,0.00000E+00,5.51275E-08,1.42720E-06,1.15101E-06,9.76487E-07,9.63809E-07,1.16273E-06,2.40500E-06
449 nm,2.96289E-07,3.14782E-07,0.00000E+00,3.27812E-07,6.81551E-07,0.00000E+00,9.82335E-07,6.85794E-08,2.08267E-08,2.55106E-07,2.29276E-07
450 nm,2.46501E-07,4.16071E-07,1.85522E-07,7.63596E-07,7.31349E-07,1.36260E-06,6.15421E-07,4.52072E-07,7.90174E-07,4.84071E-08,1.00198E-07
451 nm,0.00000E+00,0.00000E+00,5.68171E-08,5.09055E-07,0.00000E+00,6.61552E-07,1.13386E-06,2.87599E-07,1.46331E-06,5.39277E-07,0.00000E+00
452 nm,2.52201E-07,9.43456E-07,3.65586E-09,4.86890E-07,8.15927E-07,2.01493E-07,2.07276E-06,4.17997E-07,4.25171E-08,1.06389E-06,2.92989E-06
453 nm,4.81941E-07,7.16717E-07,7.15599E-08,8.88904E-08,1.07386E-06,8.40399E-08,3.39989E-07,1.38202E-06,9.36611E-07,1.10525E-06,0.00000E+00
454 nm,0.00000E+00,3.58266E-07,4.26345E-07,8.55697E-07,6.94900E-07,4.69149E-07,7.20436E-07,2.01134E-06,1.67696E-06,5.03677E-07,6.21853E-07
455 nm,3.24953E-07,6.56530E-07,0.00000E+00,7.43642E-07,1.09850E-06,1.06659E-06,1.13567E-06,1.24468E-06,8.90007E-07,1.52264E-06,1.55074E-06
456 nm,8.20093E-08,1.52904E-06,3.80406E-07,1.57347E-07,3.09237E-07,1.23360E-06,1.86354E-06,1.16635E-06,1.20905E-06,4.85430E-07,0.00000E+00
457 nm,2.62139E-07,8.07813E-07,1.04594E-06,6.94648E-07,8.65949E-07,2.17656E-06,1.02907E-06,2.24896E-06,2.38055E-06,7.49885E-07,1.88403E-06
458 nm,5.66637E-07,2.85142E-07,1.08555E-06,1.08982E-06,2.24463E-06,3.88020E-07,1.72928E-06,1.21711E-06,1.73844E-06,1.97399E-06,0.00000E+00
459 nm,3.16957E-07,1.15757E-06,1.08069E-06,8.84330E-07,2.28466E-06,5.07473E-07,9.24722E-07,1.58399E-06,1.15649E-06,8.61587E-07,6.35011E-07
