,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Name,green_100,green_90,green_80,green_70,green_60,green_50,green_40,green_30,green_20,green_10,green_0,uv_100,uv_90,uv_80,uv_70,uv_60,UV_50,uv_40,uv_30,uv_20,uv_10,uv_0
Date,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015
Time,08:54am,08:54am,08:55am,08:57am,08:58am,08:59am,09:00am,09:01am,09:02am,09:04am,09:06am,09:08am,09:09am,09:09am,09:10am,09:11am,09:13am,09:14am,09:15am,09:17am,09:19am,09:20am
T_int [ms],4564,7968,8263,9653,10937,12166,14348,17708,21220,24683,28764,10105,11535,12819,14198,16307,19902,24007,26646,28978,29131,31228
374 nm,1.81312E-07,8.52409E-08,0.00000E+00,3.63822E-08,2.04403E-07,2.43021E-07,5.78907E-07,6.12773E-07,7.37812E-07,3.90259E-08,0.00000E+00,6.91711E-05,6.09746E-05,5.41529E-05,4.66026E-05,4.08698E-05,3.40617E-05,2.76510E-05,2.15732E-05,1.54693E-05,8.44929E-06,2.21572E-06
375 nm,2.28485E-07,4.95057E-07,3.50479E-10,0.00000E+00,2.10104E-07,3.13552E-07,3.19583E-07,0.00000E+00,0.00000E+00,1.97194E-08,8.84424E-08,6.13659E-05,5.49562E-05,4.76896E-05,4.18241E-05,3.61046E-05,3.07069E-05,2.44825E-05,1.86876E-05,1.36084E-05,7.61576E-06,2.17995E-06
376 nm,1.17825E-06,0.00000E+00,1.29910E-08,1.19539E-07,0.00000E+00,5.85026E-08,0.00000E+00,2.71079E-07,1.54626E-07,2.14627E-07,2.81807E-07,5.13530E-05,4.47179E-05,4.04116E-05,3.57788E-05,3.03631E-05,2.55827E-05,2.06976E-05,1.62776E-05,1.13313E-05,6.54959E-06,1.45493E-06
377 nm,2.10482E-07,1.12188E-08,0.00000E+00,5.88419E-07,0.00000E+00,0.00000E+00,2.54780E-07,2.76720E-07,1.35974E-07,2.04814E-07,9.23733E-08,4.24655E-05,3.74879E-05,3.35178E-05,2.91761E-05,2.58101E-05,2.12482E-05,1.74247E-05,1.32726E-05,9.33932E-06,5.31681E-06,1.35115E-06
378 nm,0.00000E+00,0.00000E+00,3.76852E-07,4.38277E-07,4.36435E-08,2.09541E-07,0.00000E+00,0.00000E+00,3.34418E-07,2.36529E-07,2.53122E-07,3.65651E-05,3.23703E-05,2.81440E-05,2.41181E-05,2.09804E-05,1.76380E-05,1.46379E-05,1.09662E-05,7.39795E-06,4.08212E-06,1.36551E-06
379 nm,7.38596E-07,0.00000E+00,8.62382E-09,5.73547E-07,0.00000E+00,0.00000E+00,7.43206E-07,2.23389E-09,2.89441E-08,1.70594E-08,4.50719E-07,2.99918E-05,2.73281E-05,2.43657E-05,2.06383E-05,1.84453E-05,1.50266E-05,1.24721E-05,9.43106E-06,6.56248E-06,4.06019E-06,1.46161E-06
380 nm,1.32618E-07,3.29741E-07,3.17868E-07,0.00000E+00,3.88304E-07,2.32819E-07,6.10048E-07,0.00000E+00,4.74664E-08,4.22693E-08,1.97341E-07,2.52043E-05,2.19189E-05,1.94926E-05,1.74382E-05,1.50627E-05,1.23382E-05,9.88610E-06,7.55444E-06,5.35747E-06,2.82550E-06,8.25300E-07
381 nm,1.22645E-07,6.21355E-07,3.09607E-08,1.00271E-07,0.00000E+00,1.77766E-07,0.00000E+00,2.46280E-07,4.27403E-07,2.29459E-07,1.90758E-07,2.08630E-05,1.85590E-05,1.66157E-05,1.44112E-05,1.25669E-05,1.05383E-05,8.61230E-06,6.40465E-06,4.08201E-06,2.57798E-06,9.59879E-07
382 nm,2.55190E-07,1.43014E-07,4.06909E-07,1.39578E-07,1.67799E-08,6.02293E-07,2.25416E-07,2.47780E-07,6.84120E-08,2.26337E-07,2.11749E-07,1.73498E-05,1.53938E-05,1.35480E-05,1.18179E-05,9.99287E-06,8.70714E-06,6.99162E-06,5.49976E-06,3.57763E-06,1.92029E-06,3.35964E-07
383 nm,8.21388E-08,4.47892E-07,8.78547E-08,1.30612E-07,2.57763E-07,3.83861E-08,4.80930E-08,9.43480E-08,5.40894E-08,2.65418E-07,2.04586E-07,1.40673E-05,1.15902E-05,1.11856E-05,9.37760E-06,8.00342E-06,6.80796E-06,5.51661E-06,4.34609E-06,2.59980E-06,1.22514E-06,5.85557E-07
